Query_index,Query,FAQ_index,Raw_score,Average,Label (mean score > 3 as positive)
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",1771,"[1, 1, 2]",1.333333333,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",778,"[4, 2, 2]",2.666666667,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",781,"[4, 2, 1]",2.333333333,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",2260,"[3, 1, 3]",2.333333333,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",779,"[1, 2, 2]",1.666666667,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",4988,"[3, 3, 1]",2.333333333,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",5796,"[2, 2, 2]",2,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",854,"[1, 2, 2]",1.666666667,negative
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",1697,"[4, 4, 3]",3.666666667,positive
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",4413,"[4, 2, 3]",3,negative
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",4364,"[4, 3, 2]",3,negative
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",1858,"[3, 2, 2]",2.333333333,negative
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",1851,"[4, 2, 4]",3.333333333,positive
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",560,"[3, 1, 2]",2,negative
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",1856,"[2, 3, 4]",3,negative
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",3512,"[3, 2, 3]",2.666666667,negative
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",540,"[1, 3, 1]",1.666666667,negative
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",5663,"[2, 1, 1]",1.333333333,negative
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",1240,"[3, 2, 3]",2.666666667,negative
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",224,"[2, 3, 1]",2,negative
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",1766,"[4, 2, 2]",2.666666667,negative
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",1698,"[4, 2, 4]",3.333333333,positive
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",4412,"[3, 3, 3]",3,negative
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",3824,"[3, 2, 3]",2.666666667,negative
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",4188,"[3, 2, 4]",3,negative
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",1918,"[3, 3, 3]",3,negative
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",4414,"[2, 4, 4]",3.333333333,positive
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",1760,"[4, 4, 4]",4,positive
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",5414,"[3, 2, 3]",2.666666667,negative
2,"How to distinguish between quarantine, isolation, and distancing of oneself?",4069,"[2, 4, 4]",3.333333333,positive
3,What age groups are the most at-risk?,1455,"[3, 4, 3]",3.333333333,positive
3,What age groups are the most at-risk?,718,"[3, 1, 3]",2.333333333,negative
3,What age groups are the most at-risk?,4649,"[4, 3, 2]",3,negative
3,What age groups are the most at-risk?,1862,"[2, 4, 2]",2.666666667,negative
3,What age groups are the most at-risk?,2694,"[2, 1, 2]",1.666666667,negative
3,What age groups are the most at-risk?,3844,"[3, 1, 2]",2,negative
3,What age groups are the most at-risk?,6021,"[3, 2, 3]",2.666666667,negative
3,What age groups are the most at-risk?,1745,"[4, 3, 3]",3.333333333,positive
3,What age groups are the most at-risk?,2313,"[3, 4, 4]",3.666666667,positive
3,What age groups are the most at-risk?,3564,"[3, 4, 4]",3.666666667,positive
3,What age groups are the most at-risk?,6788,"[2, 1, 2]",1.666666667,negative
3,What age groups are the most at-risk?,6305,"[3, 4, 3]",3.333333333,positive
3,What age groups are the most at-risk?,4751,"[2, 3, 1]",2,negative
3,What age groups are the most at-risk?,3293,"[3, 3, 1]",2.333333333,negative
3,What age groups are the most at-risk?,4426,"[1, 4, 3]",2.666666667,negative
3,What age groups are the most at-risk?,2731,"[2, 1, 1]",1.333333333,negative
3,What age groups are the most at-risk?,4415,"[4, 2, 2]",2.666666667,negative
3,What age groups are the most at-risk?,1052,"[3, 2, 2]",2.333333333,negative
3,What age groups are the most at-risk?,1053,"[2, 3, 2]",2.333333333,negative
3,What age groups are the most at-risk?,7002,"[3, 2, 1]",2,negative
3,What age groups are the most at-risk?,144,"[1, 3, 2]",2,negative
3,What age groups are the most at-risk?,6778,"[4, 3, 2]",3,negative
3,What age groups are the most at-risk?,944,"[3, 2, 1]",2,negative
3,What age groups are the most at-risk?,1946,"[1, 4, 1]",2,negative
3,What age groups are the most at-risk?,20,"[3, 4, 2]",3,negative
3,What age groups are the most at-risk?,1132,"[4, 3, 3]",3.333333333,positive
3,What age groups are the most at-risk?,4634,"[2, 3, 3]",2.666666667,negative
3,What age groups are the most at-risk?,4295,"[4, 3, 2]",3,negative
3,What age groups are the most at-risk?,4447,"[1, 4, 2]",2.333333333,negative
3,What age groups are the most at-risk?,1622,"[4, 3, 4]",3.666666667,positive
3,What age groups are the most at-risk?,1228,"[3, 3, 3]",3,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",777,"[3, 1, 4]",2.666666667,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",1990,"[1, 4, 3]",2.666666667,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",1885,"[2, 3, 4]",3,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",3101,"[2, 1, 1]",1.333333333,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",419,"[3, 3, 4]",3.333333333,positive
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",1674,"[2, 3, 4]",3,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",3373,"[3, 2, 1]",2,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",1802,"[1, 2, 2]",1.666666667,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",2357,"[3, 1, 1]",1.666666667,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",1890,"[1, 2, 3]",2,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",3962,"[2, 1, 1]",1.333333333,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",1719,"[2, 3, 3]",2.666666667,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",1883,"[1, 1, 3]",1.666666667,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",3251,"[2, 1, 4]",2.333333333,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",4937,"[1, 2, 4]",2.333333333,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",1025,"[3, 2, 2]",2.333333333,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",21,"[3, 3, 4]",3.333333333,positive
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",4215,"[2, 4, 4]",3.333333333,positive
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",2370,"[2, 1, 3]",2,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",3971,"[2, 1, 1]",1.333333333,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",829,"[3, 3, 1]",2.333333333,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",6072,"[2, 1, 2]",1.666666667,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",1773,"[1, 2, 3]",2,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",775,"[2, 3, 3]",2.666666667,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",415,"[3, 2, 4]",3,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",414,"[1, 2, 4]",2.333333333,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",3965,"[3, 2, 4]",3,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",778,"[1, 3, 3]",2.333333333,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",3472,"[2, 2, 3]",2.333333333,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",1892,"[4, 4, 1]",3,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",418,"[2, 3, 3]",2.666666667,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",3272,"[1, 3, 2]",2,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",4805,"[2, 3, 3]",2.666666667,negative
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?",1673,"[3, 3, 3]",3,negative
5,Is it true that infection is limited to those in the younger and older age groups?,2313,"[1, 3, 3]",2.333333333,negative
5,Is it true that infection is limited to those in the younger and older age groups?,3920,"[1, 1, 3]",1.666666667,negative
5,Is it true that infection is limited to those in the younger and older age groups?,1717,"[3, 3, 4, 3, 4, 3]",3.333333333,positive
5,Is it true that infection is limited to those in the younger and older age groups?,1622,"[3, 2, 3]",2.666666667,negative
5,Is it true that infection is limited to those in the younger and older age groups?,6527,"[2, 3, 3]",2.666666667,negative
5,Is it true that infection is limited to those in the younger and older age groups?,4427,"[2, 3, 2]",2.333333333,negative
5,Is it true that infection is limited to those in the younger and older age groups?,1019,"[2, 2, 3]",2.333333333,negative
5,Is it true that infection is limited to those in the younger and older age groups?,6847,"[1, 2, 2]",1.666666667,negative
5,Is it true that infection is limited to those in the younger and older age groups?,718,"[1, 3, 3]",2.333333333,negative
5,Is it true that infection is limited to those in the younger and older age groups?,1448,"[4, 3, 2]",3,negative
5,Is it true that infection is limited to those in the younger and older age groups?,4401,"[3, 1, 3]",2.333333333,negative
5,Is it true that infection is limited to those in the younger and older age groups?,1132,"[4, 3, 3]",3.333333333,positive
5,Is it true that infection is limited to those in the younger and older age groups?,4426,"[3, 2, 3]",2.666666667,negative
5,Is it true that infection is limited to those in the younger and older age groups?,2329,"[2, 3, 1]",2,negative
5,Is it true that infection is limited to those in the younger and older age groups?,4415,"[3, 2, 3]",2.666666667,negative
5,Is it true that infection is limited to those in the younger and older age groups?,6121,"[2, 1, 1]",1.333333333,negative
5,Is it true that infection is limited to those in the younger and older age groups?,2162,"[1, 1, 3]",1.666666667,negative
5,Is it true that infection is limited to those in the younger and older age groups?,5919,"[1, 1, 1]",1,negative
5,Is it true that infection is limited to those in the younger and older age groups?,2295,"[1, 3, 1]",1.666666667,negative
5,Is it true that infection is limited to those in the younger and older age groups?,1234,"[2, 2, 3]",2.333333333,negative
5,Is it true that infection is limited to those in the younger and older age groups?,1666,"[3, 3, 4, 1, 2, 3]",2.666666667,negative
5,Is it true that infection is limited to those in the younger and older age groups?,4649,"[3, 4, 4]",3.666666667,positive
5,Is it true that infection is limited to those in the younger and older age groups?,1946,"[4, 3, 3]",3.333333333,positive
5,Is it true that infection is limited to those in the younger and older age groups?,1871,"[2, 4, 2]",2.666666667,negative
5,Is it true that infection is limited to those in the younger and older age groups?,1862,"[3, 3, 3]",3,negative
5,Is it true that infection is limited to those in the younger and older age groups?,1052,"[2, 1, 4]",2.333333333,negative
5,Is it true that infection is limited to those in the younger and older age groups?,4351,"[3, 3, 3]",3,negative
5,Is it true that infection is limited to those in the younger and older age groups?,1947,"[3, 4, 4]",3.666666667,positive
5,Is it true that infection is limited to those in the younger and older age groups?,405,"[1, 4, 2]",2.333333333,negative
5,Is it true that infection is limited to those in the younger and older age groups?,3905,"[1, 1, 2]",1.333333333,negative
5,Is it true that infection is limited to those in the younger and older age groups?,6020,"[4, 3, 3]",3.333333333,positive
5,Is it true that infection is limited to those in the younger and older age groups?,4295,"[3, 3, 2]",2.666666667,negative
6,What assurances do we have that face coverings keep out the virus?,3850,"[2, 2, 3]",2.333333333,negative
6,What assurances do we have that face coverings keep out the virus?,4339,"[1, 3, 2]",2,negative
6,What assurances do we have that face coverings keep out the virus?,543,"[2, 2, 2]",2,negative
6,What assurances do we have that face coverings keep out the virus?,2710,"[3, 4, 4]",3.666666667,positive
6,What assurances do we have that face coverings keep out the virus?,2705,"[3, 3, 1]",2.333333333,negative
6,What assurances do we have that face coverings keep out the virus?,5503,"[1, 2, 4]",2.333333333,negative
6,What assurances do we have that face coverings keep out the virus?,4319,"[4, 3, 3]",3.333333333,positive
6,What assurances do we have that face coverings keep out the virus?,1910,"[2, 1, 4]",2.333333333,negative
6,What assurances do we have that face coverings keep out the virus?,2472,"[3, 3, 3]",3,negative
6,What assurances do we have that face coverings keep out the virus?,4312,"[3, 2, 4]",3,negative
6,What assurances do we have that face coverings keep out the virus?,845,"[3, 3, 2]",2.666666667,negative
6,What assurances do we have that face coverings keep out the virus?,2957,"[1, 1, 1]",1,negative
6,What assurances do we have that face coverings keep out the virus?,3849,"[3, 2, 3]",2.666666667,negative
6,What assurances do we have that face coverings keep out the virus?,3391,"[2, 4, 3]",3,negative
6,What assurances do we have that face coverings keep out the virus?,2050,"[2, 3, 2]",2.333333333,negative
6,What assurances do we have that face coverings keep out the virus?,1151,"[1, 2, 2]",1.666666667,negative
6,What assurances do we have that face coverings keep out the virus?,732,"[1, 1, 3]",1.666666667,negative
6,What assurances do we have that face coverings keep out the virus?,4313,"[4, 2, 3]",3,negative
6,What assurances do we have that face coverings keep out the virus?,4316,"[2, 3, 2]",2.333333333,negative
6,What assurances do we have that face coverings keep out the virus?,2702,"[1, 1, 3]",1.666666667,negative
6,What assurances do we have that face coverings keep out the virus?,1796,"[2, 3, 4]",3,negative
6,What assurances do we have that face coverings keep out the virus?,2709,"[3, 2, 2]",2.333333333,negative
6,What assurances do we have that face coverings keep out the virus?,3845,"[3, 2, 3]",2.666666667,negative
6,What assurances do we have that face coverings keep out the virus?,1292,"[2, 3, 2]",2.333333333,negative
6,What assurances do we have that face coverings keep out the virus?,3753,"[1, 3, 3]",2.333333333,negative
6,What assurances do we have that face coverings keep out the virus?,3335,"[4, 1, 3]",2.666666667,negative
6,What assurances do we have that face coverings keep out the virus?,2720,"[4, 1, 3]",2.666666667,negative
6,What assurances do we have that face coverings keep out the virus?,3848,"[2, 3, 4]",3,negative
6,What assurances do we have that face coverings keep out the virus?,2706,"[2, 1, 4]",2.333333333,negative
6,What assurances do we have that face coverings keep out the virus?,2064,"[4, 3, 2]",3,negative
6,What assurances do we have that face coverings keep out the virus?,4320,"[2, 4, 3]",3,negative
6,What assurances do we have that face coverings keep out the virus?,6020,"[3, 1, 1]",1.666666667,negative
6,What assurances do we have that face coverings keep out the virus?,5467,"[2, 2, 3]",2.333333333,negative
6,What assurances do we have that face coverings keep out the virus?,4310,"[4, 4, 4]",4,positive
6,What assurances do we have that face coverings keep out the virus?,239,"[2, 3, 2]",2.333333333,negative
6,What assurances do we have that face coverings keep out the virus?,6548,"[2, 3, 3]",2.666666667,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",3398,"[2, 1, 3]",2,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",4100,"[1, 1, 3]",1.666666667,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",2950,"[3, 2, 2]",2.333333333,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",4993,"[1, 1, 1]",1,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",4098,"[1, 3, 3]",2.333333333,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",2983,"[1, 3, 2]",2,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",302,"[2, 3, 4]",3,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",2109,"[3, 1, 2]",2,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",2107,"[4, 2, 3]",3,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",2465,"[1, 4, 1]",2,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",2928,"[3, 3, 1]",2.333333333,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",2343,"[2, 3, 2]",2.333333333,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",2093,"[4, 3, 2]",3,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",4217,"[3, 2, 3]",2.666666667,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",2960,"[2, 3, 2]",2.333333333,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",4148,"[1, 1, 1]",1,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",1587,"[2, 1, 1]",1.333333333,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",296,"[2, 3, 1]",2,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",6632,"[1, 1, 2]",1.333333333,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",2750,"[2, 2, 3]",2.333333333,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",2108,"[3, 2, 4]",3,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",4795,"[2, 1, 1]",1.333333333,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",3040,"[3, 1, 4]",2.666666667,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",2105,"[2, 1, 2]",1.666666667,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",2044,"[3, 1, 1]",1.666666667,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",300,"[1, 3, 3]",2.333333333,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",3002,"[4, 3, 3]",3.333333333,positive
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",1588,"[4, 1, 1]",2,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",1538,"[3, 1, 1]",1.666666667,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",2103,"[2, 3, 1]",2,negative
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?",4909,"[3, 3, 1]",2.333333333,negative
8,What suspenders are.,5378,"[1, 1, 1]",1,negative
8,What suspenders are.,2116,"[1, 1, 3]",1.666666667,negative
8,What suspenders are.,11,"[1, 2, 1]",1.333333333,negative
8,What suspenders are.,781,"[1, 1, 2]",1.333333333,negative
8,What suspenders are.,2178,"[1, 1, 3]",1.666666667,negative
8,What suspenders are.,5375,"[1, 1, 3]",1.666666667,negative
8,What suspenders are.,76,"[1, 1, 1]",1,negative
8,What suspenders are.,3761,"[2, 1, 3]",2,negative
8,What suspenders are.,1204,"[1, 1, 1]",1,negative
8,What suspenders are.,3075,"[1, 1, 1]",1,negative
8,What suspenders are.,4408,"[1, 1, 3]",1.666666667,negative
8,What suspenders are.,3147,"[1, 1, 4]",2,negative
8,What suspenders are.,2161,"[1, 1, 1]",1,negative
8,What suspenders are.,3090,"[1, 1, 1]",1,negative
8,What suspenders are.,2923,"[1, 3, 1]",1.666666667,negative
8,What suspenders are.,2625,"[1, 2, 1]",1.333333333,negative
8,What suspenders are.,7106,"[3, 3, 1]",2.333333333,negative
8,What suspenders are.,1363,"[1, 1, 1]",1,negative
8,What suspenders are.,2180,"[1, 1, 1]",1,negative
8,What suspenders are.,5380,"[1, 2, 2]",1.666666667,negative
8,What suspenders are.,2933,"[1, 1, 1]",1,negative
8,What suspenders are.,3103,"[2, 2, 1]",1.666666667,negative
8,What suspenders are.,4694,"[2, 3, 3]",2.666666667,negative
8,What suspenders are.,2248,"[1, 1, 1]",1,negative
8,What suspenders are.,3551,"[1, 2, 1]",1.333333333,negative
8,What suspenders are.,3787,"[1, 1, 1]",1,negative
8,What suspenders are.,1659,"[2, 2, 1]",1.666666667,negative
8,What suspenders are.,4366,"[1, 1, 1]",1,negative
8,What suspenders are.,1362,"[4, 1, 1]",2,negative
8,What suspenders are.,6111,"[1, 1, 1]",1,negative
8,What suspenders are.,7073,"[1, 1, 1]",1,negative
8,What suspenders are.,1106,"[1, 2, 1]",1.333333333,negative
8,What suspenders are.,53,"[2, 1, 1]",1.333333333,negative
8,What suspenders are.,51,"[1, 1, 1]",1,negative
8,What suspenders are.,649,"[1, 1, 1]",1,negative
9,What long-term issues do I face if infected with COVID-19?,2296,"[2, 1, 2]",1.666666667,negative
9,What long-term issues do I face if infected with COVID-19?,4363,"[2, 1, 1]",1.333333333,negative
9,What long-term issues do I face if infected with COVID-19?,2270,"[2, 4, 1]",2.333333333,negative
9,What long-term issues do I face if infected with COVID-19?,1055,"[4, 4, 4]",4,positive
9,What long-term issues do I face if infected with COVID-19?,3549,"[2, 2, 1]",1.666666667,negative
9,What long-term issues do I face if infected with COVID-19?,2502,"[3, 3, 1]",2.333333333,negative
9,What long-term issues do I face if infected with COVID-19?,741,"[1, 2, 2]",1.666666667,negative
9,What long-term issues do I face if infected with COVID-19?,3960,"[3, 3, 3]",3,negative
9,What long-term issues do I face if infected with COVID-19?,4636,"[2, 1, 1]",1.333333333,negative
9,What long-term issues do I face if infected with COVID-19?,4319,"[4, 3, 2]",3,negative
9,What long-term issues do I face if infected with COVID-19?,514,"[1, 1, 1]",1,negative
9,What long-term issues do I face if infected with COVID-19?,4312,"[1, 3, 3]",2.333333333,negative
9,What long-term issues do I face if infected with COVID-19?,4880,"[4, 3, 2]",3,negative
9,What long-term issues do I face if infected with COVID-19?,1851,"[2, 1, 1]",1.333333333,negative
